THBS1	SEMA3F	0.0004678062
SEMA3F	FUT1	0.0002567757
THBS1	IFITM2	0.000216817
SEMA3F	IFITM2	0.0003658023
SEMA3F	OS9	0.0001376805
FUT1	OS9	0.0001075548
SEMA3F	ADCY6	0.0003026384
SEMA3F	ATP7B	0.0006603111
THBS1	ENG	0.0002341579
SEMA3F	ENG	0.001117668
IFITM2	ENG	0.0006003028
SEMA3F	H3F3A	0.0001849392
SEMA3F	APOA1	0.0002070885
ATP7B	APOA1	0.0011642374
SEMA3F	PPP1R14B	0.0002328164
SEMA3F	S100A2	0.0002935975
FUT1	S100A2	0.0001009272
THBS1	PCOLCE	0.0004292144
SEMA3F	PCOLCE	0.0001871228
IFITM2	PCOLCE	0.0004682623
ENG	PCOLCE	0.0001265272
THBS1	CTSB	0.0002665229
SEMA3F	CTSB	9.311549e-05
IFITM2	CTSB	0.0005633812
OS9	CTSB	0.0002867678
ADCY6	CTSB	0.0004392644
ATP7B	CTSB	0.0006182977
SEMA3F	IGFBP2	0.0008387703
FUT1	IGFBP2	0.00104842
ATP7B	IGFBP2	0.0006470358
APOA1	IGFBP2	0.0005456852
PPP1R14B	IGFBP2	0.0001854799
SEMA3F	LZTR1	0.0001133873
FUT1	LZTR1	8.523358e-05
IGFBP2	LZTR1	5.506345e-05
SEMA3F	CSTA	0.00031242057
S100A2	CSTA	0.0003180474
CTSB	CSTA	0.0004727236
IGFBP2	CSTA	0.000492927
SEMA3F	GAS6	0.0005926674
OS9	GAS6	0.0001164999
ENG	GAS6	0.0003698309
PCOLCE	GAS6	0.0001492965
CTSB	GAS6	0.0004728275
SEMA3F	GPER1	0.00039548
ATP7B	GPER1	0.0001372247
PCOLCE	GPER1	8.123575e-05
CTSB	GPER1	0.0005562012
SEMA3F	SLC9A1	0.0006254879
FUT1	SLC9A1	0.0005563513
OS9	SLC9A1	0.0003963078
S100A2	SLC9A1	0.0003616322
SEMA3F	TAGLN2	0.0004190179
OS9	TAGLN2	0.0001278425
ADCY6	TAGLN2	0.0003661506
PPP1R14B	TAGLN2	0.000274028
IGFBP2	TAGLN2	0.000275581
SLC9A1	TAGLN2	0.0001929172
SEMA3F	APOH	8.907419e-05
FUT1	APOH	0.0002151401
IFITM2	APOH	0.0003928615
ATP7B	APOH	0.000283346
ENG	APOH	4.32438e-05
APOA1	APOH	0.0009857009
IGFBP2	APOH	0.0005632476
SLC9A1	APOH	0.0005504704
THBS1	CD59	0.0002091205
SEMA3F	CD59	0.000547898
IFITM2	CD59	0.0004393435
ADCY6	CD59	3.35566e-05
ENG	CD59	0.0002648249
PCOLCE	CD59	0.0003030417
CTSB	CD59	0.000871997
IGFBP2	CD59	0.0003379183
GAS6	CD59	0.0005911245
THBS1	ITGB3	0.0003640434
SEMA3F	ITGB3	0.0008751306
S100A2	ITGB3	0.0002642528
CTSB	ITGB3	0.0005539856
SEMA3F	APCS	0.0002930619
FUT1	APCS	9.895916e-05
IFITM2	APCS	0.000116038
ATP7B	APCS	0.0001645112
APOA1	APCS	0.0010996802
IGFBP2	APCS	0.0001379346
LZTR1	APCS	0.0001003152
GPER1	APCS	0.0001231486
APOH	APCS	0.0010610828
ITGB3	APCS	3.272928e-05
THBS1	SERPING1	0.0001664329
SEMA3F	SERPING1	0.0001605012
IFITM2	SERPING1	0.0008780506
OS9	SERPING1	0.0002563533
ENG	SERPING1	0.0003300125
APOA1	SERPING1	7.812597e-05
PCOLCE	SERPING1	0.0006083092
CTSB	SERPING1	0.0007724802
IGFBP2	SERPING1	0.0001984511
GAS6	SERPING1	0.0004368941
TAGLN2	SERPING1	0.0002024676
APOH	SERPING1	5.357782e-05
APCS	SERPING1	0.0001845688
THBS1	PPBP	0.000736554
SEMA3F	PPBP	0.000542431
IGFBP2	PPBP	0.0006116629
TAGLN2	PPBP	0.0002515027
APOH	PPBP	0.000180128
APCS	PPBP	8.659785e-05
SEMA3F	ITIH1	0.0004124782
FUT1	ITIH1	0.0002370577
APOA1	ITIH1	0.0014030043
GPER1	ITIH1	0.0006359704
SLC9A1	ITIH1	0.0003009422
APOH	ITIH1	0.0013750764
APCS	ITIH1	0.0013861638
SERPING1	ITIH1	0.0002248452
ENG	FLNA	0.0001822835
CTSB	FLNA	3.829405e-05
LZTR1	FLNA	0.0004312965
GAS6	FLNA	0.0001207782
CD59	FLNA	4.94099e-05
ITGB3	FLNA	6.090249e-05
SERPING1	FLNA	0.0003086351
THBS1	MAOA	0.0001895015
ADCY6	MAOA	0.0004676532
ATP7B	MAOA	0.0005795805
S100A2	MAOA	0.0001500893
PCOLCE	MAOA	0.0001669265
CTSB	MAOA	0.0003181497
IGFBP2	MAOA	0.0004361898
CSTA	MAOA	0.0001775095
CD59	MAOA	0.000982351
ITGB3	MAOA	0.0010663205
SERPING1	MAOA	0.0006379291
FUT1	GRN	0.0003798023
IFITM2	GRN	0.0004541981
OS9	GRN	0.0003780934
ENG	GRN	0.0003136893
PPP1R14B	GRN	0.0001003618
PCOLCE	GRN	0.0001143684
CTSB	GRN	0.0006564023
CSTA	GRN	0.0003720442
GPER1	GRN	0.0005900524
TAGLN2	GRN	0.000145004
SERPING1	GRN	9.994463e-05
FLNA	GRN	0.0003352127
IFITM2	GPX2	0.0004552776
IGFBP2	GPX2	0.0005017606
LZTR1	GPX2	6.466164e-05
APOH	GPX2	0.000512162
APCS	GPX2	0.0001128209
FLNA	GPX2	0.0007296248
MAOA	GPX2	0.0007891672
IFITM2	VCAM1	0.000122482
PCOLCE	VCAM1	0.0004418353
CTSB	VCAM1	0.0003198126
CSTA	VCAM1	0.0001953765
SLC9A1	VCAM1	2.488499e-05
TAGLN2	VCAM1	0.0005921452
CD59	VCAM1	2.180691e-05
SERPING1	VCAM1	9.468601e-05
FLNA	VCAM1	0.0005921452
FUT1	LCN2	0.0002050703
IFITM2	LCN2	0.0003942572
IGFBP2	LCN2	0.000532353
LZTR1	LCN2	0.0001987546
CSTA	LCN2	0.0003795472
TAGLN2	LCN2	0.0002119473
CD59	LCN2	0.0006125726
PPBP	LCN2	0.0005282217
MAOA	LCN2	0.000269432
GPX2	LCN2	0.0004993693
VCAM1	LCN2	0.0004099227
CSTA	CEACAM6	0.0001303342
GPER1	CEACAM6	0.00023901
APOH	CEACAM6	0.0004059678
APCS	CEACAM6	0.0001531637
SERPING1	CEACAM6	0.0001263131
GRN	CEACAM6	0.0002696332
GPX2	CEACAM6	0.0004398819
LCN2	CEACAM6	0.0005034792
THBS1	ALOX5AP	8.213679e-05
ENG	ALOX5AP	0.0009350238
CSTA	ALOX5AP	0.000206999
PPBP	ALOX5AP	0.000784835
GRN	ALOX5AP	0.0003210093
CEACAM6	ALOX5AP	0.0002769318
THBS1	MXD1	0.0002942148
FUT1	MXD1	0.000387497
H3F3A	MXD1	0.0005101297
CSTA	MXD1	0.0001655437
PPBP	MXD1	0.0003779006
GRN	MXD1	0.0002104016
CEACAM6	MXD1	0.0004880755
THBS1	IL1RN	0.0005201682
ENG	IL1RN	0.0007536018
APOA1	IL1RN	0.0007520753
CTSB	IL1RN	4.034814e-05
LZTR1	IL1RN	0.0002042803
CSTA	IL1RN	0.0002818544
APCS	IL1RN	0.0001337695
SERPING1	IL1RN	0.0001649852
PPBP	IL1RN	0.0004681243
GRN	IL1RN	0.0002538281
GPX2	IL1RN	0.0004403923
ALOX5AP	IL1RN	0.000397074
THBS1	FBN1	0.0005892751
ADCY6	FBN1	0.0003479018
ENG	FBN1	6.871685e-05
PCOLCE	FBN1	0.0001543192
IGFBP2	FBN1	2.774372e-05
CSTA	FBN1	2.100548e-05
GPER1	FBN1	3.005526e-05
SERPING1	FBN1	0.0002147501
PPBP	FBN1	9.848456e-05
ITIH1	FBN1	0.000220984
FLNA	FBN1	0.0001674237
MAOA	FBN1	0.00096375986
